ax(g)__sum_values,ax(g)__median,ax(g)__mean,ax(g)__length,ax(g)__standard_deviation,ax(g)__variance,ax(g)__root_mean_square,ax(g)__maximum,ax(g)__absolute_maximum,ax(g)__minimum,ay(g)__sum_values,ay(g)__median,ay(g)__mean,ay(g)__length,ay(g)__standard_deviation,ay(g)__variance,ay(g)__root_mean_square,ay(g)__maximum,ay(g)__absolute_maximum,ay(g)__minimum,az(g)__sum_values,az(g)__median,az(g)__mean,az(g)__length,az(g)__standard_deviation,az(g)__variance,az(g)__root_mean_square,az(g)__maximum,az(g)__absolute_maximum,az(g)__minimum,wx(deg/s)__sum_values,wx(deg/s)__median,wx(deg/s)__mean,wx(deg/s)__length,wx(deg/s)__standard_deviation,wx(deg/s)__variance,wx(deg/s)__root_mean_square,wx(deg/s)__maximum,wx(deg/s)__absolute_maximum,wx(deg/s)__minimum,wy(deg/s)__sum_values,wy(deg/s)__median,wy(deg/s)__mean,wy(deg/s)__length,wy(deg/s)__standard_deviation,wy(deg/s)__variance,wy(deg/s)__root_mean_square,wy(deg/s)__maximum,wy(deg/s)__absolute_maximum,wy(deg/s)__minimum,wz(deg/s)__sum_values,wz(deg/s)__median,wz(deg/s)__mean,wz(deg/s)__length,wz(deg/s)__standard_deviation,wz(deg/s)__variance,wz(deg/s)__root_mean_square,wz(deg/s)__maximum,wz(deg/s)__absolute_maximum,wz(deg/s)__minimum
63.1495,0.041,0.04510678571428572,1400.0,0.021024483101098283,0.0004420288896683673,0.049765962335142855,0.1328,0.1328,-0.0151,1379.9807,0.9858,0.9857005000000001,1400.0,0.03486015869206154,0.001215230664035714,0.986316737343682,1.1548,1.1548,0.8413,-175.11919999999998,-0.1211,-0.12508514285714284,1400.0,0.029938788874390127,0.0008963310792653061,0.1286181326363322,-0.0479,0.2329,-0.2329,-46.38630000000006,0.2441,-0.03313307142857147,1400.0,4.072047841163916,16.58157362072771,4.072182636025796,14.2822,14.2822,-11.8408,306.64160000000015,-0.7324,0.21902971428571438,1400.0,6.095507793483416,37.155215260417066,6.099441718399901,16.9067,16.9067,-13.4277,-464.0529000000001,-0.3662,-0.3314663571428572,1400.0,1.7415694520184581,3.0330641562038725,1.7728322261628224,5.6763,5.7373,-5.7373
83.1746,0.0352,0.03780663636363636,2200.0,0.021927448376915952,0.00048081299232231395,0.043705317130236516,0.1348,0.1348,-0.0366,2157.9480000000003,0.9805,0.9808854545454547,2200.0,0.021369566875108912,0.0004566583884297521,0.9811182055834419,1.062,1.062,0.9102,-291.0719,-0.1299,-0.1323054090909091,2200.0,0.021418326324900303,0.00045874470255991733,0.1340278552289513,-0.0801,0.2036,-0.2036,-121.6379,-0.061,-0.055289954545454545,2200.0,3.438298265452363,11.821894962212726,3.4387427849849956,18.8599,18.8599,-18.0054,-172.5485000000001,-0.3052,-0.07843113636363641,2200.0,5.6421654604293865,31.83403108286235,5.642710565500736,21.3623,22.0947,-22.0947,-1113.4061000000002,-0.3662,-0.5060936818181819,2200.0,1.8003788999594423,3.2413641834191713,1.8701590836598514,5.9814,6.0425,-6.0425
73.3244,0.0444,0.04582775,1600.0,0.024133884476757985,0.0005824443799375,0.05179408315628341,0.1289,0.1289,-0.0239,1575.0652,0.9834,0.98441575,1600.0,0.022704719541044763,0.0005155042894375,0.9846775477980089,1.0649,1.0649,0.9077,-210.1008,-0.1284,-0.13131299999999999,1600.0,0.03130632393782445,0.0009800859185,0.13499329571315755,-0.0566,0.2446,-0.2446,-627.0153,-0.3052,-0.39188456250000003,1600.0,3.7634301881967245,14.163406781430432,3.7837785732989513,10.0098,19.3481,-19.3481,64.51749999999993,-0.7019,0.040323437499999955,1600.0,6.086434304078984,37.04468253786943,6.086567876683973,18.1885,19.4092,-19.4092,-537.9616000000001,-0.2441,-0.3362260000000001,1600.0,2.081635443773477,4.333206120774,2.108614247284221,4.8218,8.606,-8.606
68.2364,0.0469,0.048740285714285715,1400.0,0.030079157091696215,0.0009047556913469387,0.05727452437914385,0.1577,0.1577,-0.0435,1372.9473,0.9824,0.9806766428571428,1400.0,0.028357881572871776,0.0008041694473010205,0.9810865646276363,1.0864,1.0864,0.8208,-177.3231,-0.1211,-0.12665935714285714,1400.0,0.02917157982672064,0.0008509810695867346,0.12997528157857005,-0.0249,0.25,-0.25,205.56429999999997,-0.061,0.14683164285714284,1400.0,4.010700999469885,16.08572250714873,4.013387850494001,23.0103,23.0103,-16.6626,-1215.2732999999998,-0.061,-0.868052357142857,1400.0,5.665882732302949,32.102227136208725,5.731992849869058,13.6719,21.3013,-21.3013,-652.4014,-0.4883,-0.466001,1400.0,2.3669042684604173,5.602235816056143,2.412341756065492,6.3477,7.6904,-7.6904
103.5462,0.0483,0.04314425,2400.0,0.033798307900507384,0.0011423256169375,0.05480649528112521,0.1543,0.1543,-0.0664,2360.0600999999997,0.9829,0.9833583749999999,2400.0,0.015324620599742156,0.00023484399652604163,0.9834777769116935,1.0786,1.0786,0.9229,-290.28970000000004,-0.1245,-0.12095404166666668,2400.0,0.031767160066095465,0.0010091524586649306,0.1250561180197381,0.0483,0.1865,-0.1865,-721.7433999999998,0.061,-0.3007264166666666,2400.0,3.776496153249794,14.261923195510493,3.7884508144083995,11.4746,21.1182,-21.1182,1091.3694999999998,0.0,0.4547372916666666,2400.0,4.972128577932879,24.722062595496833,4.992879790254235,27.4658,27.4658,-22.2778,-790.9529000000001,-0.2441,-0.32956370833333337,2400.0,1.8012353908508874,3.2444489332537487,1.831136579041598,5.3711,9.0332,-9.0332
72.2802,0.0596,0.05162871428571428,1400.0,0.058586892644818686,0.00343242398977551,0.0780893598934671,0.1733,0.1733,-0.0781,1368.9827,0.9775,0.9778447857142857,1400.0,0.009034031766275881,8.161372995408171e-05,0.9778865162576748,1.0029,1.0029,0.9482,-205.7946,-0.1558,-0.14699614285714285,1400.0,0.030218437361171083,0.0009131539565510205,0.15007005021465333,-0.0742,0.1963,-0.1963,368.4066,0.1831,0.2631475714285714,1400.0,2.1483812667002073,4.615542067108388,2.1644372736249817,5.127,5.6152,-5.6152,46.20330000000013,-0.3052,0.033002357142857236,1400.0,4.525535610117817,20.480472558444447,4.525655942956936,11.5967,12.7563,-12.7563,-1022.9493,-1.1597,-0.7306780714285714,1400.0,2.7799381444116436,7.728056086754852,2.8743601950384416,5.0659,6.2866,-6.2866
13.097000000000003,0.02,0.01091416666666667,1200.0,0.040012838347696464,0.0016010272326388887,0.04147464607042074,0.0728,0.105,-0.105,1177.2421,0.9834,0.9810350833333333,1200.0,0.010059250841541606,0.00010118852749305552,0.9810866543065059,1.0059,1.0059,0.937,-166.50670000000002,-0.1279,-0.13875558333333335,1200.0,0.02936468120310047,0.0008622845021597222,0.14182875733902955,-0.1021,0.2051,-0.2051,-23.62220000000002,0.39670000000000005,-0.019685166666666684,1200.0,3.067377096733185,9.408802253563303,3.0674402617410497,6.4697,13.2446,-13.2446,-1746.7631000000001,-1.4038,-1.4556359166666668,1200.0,5.660187059995013,32.03771755413499,5.844364249088604,17.8223,18.6768,-18.6768,-279.6634999999999,-0.2136,-0.23305291666666658,1200.0,2.7942375731001876,7.807763614924826,2.803939599365804,7.3853,7.3853,-6.5918
-3.1990999999999996,-0.0127,-0.0022850714285714284,1400.0,0.04515408269780942,0.002038891184280612,0.045211864988233846,0.0771,0.0996,-0.0996,1374.2662999999998,0.9824,0.9816187857142855,1400.0,0.009420764904329856,8.875081138265311e-05,0.9816639910267522,1.0117,1.0117,0.9409,-188.57059999999998,-0.1328,-0.1346932857142857,1400.0,0.0230651666384881,0.0005320019120612246,0.13665388076659743,-0.0884,0.1938,-0.1938,-362.42870000000005,0.2441,-0.2588776428571429,1400.0,2.388863984848719,5.706671138107301,2.402850135168353,5.127,10.0708,-10.0708,166.87150000000008,0.0,0.11919392857142863,1400.0,5.025627275814745,25.25692951541314,5.027040551658742,12.9395,13.4888,-13.4888,-802.5528999999999,-0.3662,-0.5732520714285714,1400.0,3.0851526003441054,9.518166567409995,3.1379586525011995,7.3242,7.9346,-7.9346
13.313400000000001,0.002,0.011094500000000002,1200.0,0.04940573839562229,0.0024409269864166666,0.05063610289770202,0.0859,0.0952,-0.0952,1179.8408000000002,0.9839,0.9832006666666668,1200.0,0.008250730243775732,6.807454955555553e-05,0.983235284905568,1.0151,1.0151,0.9429,-144.714,-0.1182,-0.120595,1200.0,0.019809512655960686,0.00039241679166666666,0.12221117304349331,-0.0859,0.168,-0.168,122.0736,0.6104,0.101728,1200.0,2.214378241038027,4.903470994382666,2.216713689308267,5.0049,9.8877,-9.8877,-860.1636,-1.1597,-0.716803,1200.0,4.207689018026919,17.704646872424334,4.268308026986025,14.3433,14.3433,-10.5591,-59.1413,0.3662,-0.04928441666666667,1200.0,2.99887134541183,8.993229346332159,2.9992762960518218,8.606,8.606,-8.3618
15.9313,0.001,0.0113795,1400.0,0.03805356677153555,0.0014480739440357142,0.03971859720943974,0.0825,0.0977,-0.0977,1377.1624000000002,0.9841500000000001,0.9836874285714287,1400.0,0.008690504618870663,7.552487053061232e-05,0.9837258164753022,1.0103,1.0103,0.9463,-172.7727,-0.1172,-0.12340907142857142,1400.0,0.02339986622050979,0.0005475537391377551,0.1256079322734038,-0.0801,0.1772,-0.1772,-387.6954999999999,-0.1221,-0.2769253571428571,1400.0,2.523065408844371,6.365859057307015,2.5382172308011217,6.1035,7.5684,-7.5684,837.5263000000001,-0.3662,0.5982330714285715,1400.0,4.630931303363349,21.44552473647057,4.669411905606682,14.7705,14.7705,-9.6436,-621.8855000000001,-0.6104,-0.44420392857142865,1400.0,2.7419742984479,7.518423053348853,2.7777221213626,6.6528,7.8125,-7.8125
