StartTime: 2023-03-29 14:41:31.789
address	Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	Voltage(v)	hx	hy	hz
0x50	 14:41:31.789	 2023-03-28 13:45:30.551	0,0430	0,9985	-0,1582	-3,9063	-13,1226	0,7935	97,2070	-0,6537	-132,1161	36,64	3,96	-1761	3721	1187
0x50	 14:41:31.790	 2023-03-28 13:45:30.556	0,0430	0,9985	-0,1582	-3,9063	-13,1226	0,7935	97,1906	-0,6537	-132,1875	36,64	3,96	-1740	3723	1188
0x50	 14:41:31.790	 2023-03-28 13:45:30.561	0,0430	0,9985	-0,1582	-3,9063	-13,1226	0,7935	97,1741	-0,6482	-132,2534	36,64	3,96	-1721	3724	1186
0x50	 14:41:31.790	 2023-03-28 13:45:30.566	0,0430	0,9985	-0,1582	-3,9063	-13,1226	0,7935	97,1576	-0,6482	-132,3248	36,64	3,96	-1706	3725	1184
0x50	 14:41:31.790	 2023-03-28 13:45:30.571	0,0483	0,9834	-0,1460	-1,4648	-13,1226	1,7700	97,1576	-0,6482	-132,3907	36,63	3,96	-1690	3725	1185
0x50	 14:41:31.790	 2023-03-28 13:45:30.576	0,0483	0,9834	-0,1460	-1,4648	-13,1226	1,7700	97,1521	-0,6482	-132,4622	36,63	3,96	-1676	3725	1180
0x50	 14:41:31.811	 2023-03-28 13:45:30.581	0,0483	0,9834	-0,1460	-1,4648	-13,1226	1,7700	97,1466	-0,6537	-132,5336	36,63	3,96	-1665	3724	1179
0x50	 14:41:31.811	 2023-03-28 13:45:30.586	0,0483	0,9834	-0,1460	-1,4648	-13,1226	1,7700	97,1466	-0,6537	-132,6050	36,63	3,96	-1656	3724	1178
0x50	 14:41:31.811	 2023-03-28 13:45:30.591	0,0488	0,9941	-0,1475	0,4272	-13,4277	1,8311	97,1521	-0,6592	-132,6764	36,63	3,96	-1646	3725	1174
0x50	 14:41:31.811	 2023-03-28 13:45:30.596	0,0488	0,9941	-0,1475	0,4272	-13,4277	1,8311	97,1576	-0,6647	-132,7478	36,63	3,96	-1638	3724	1171
0x50	 14:41:31.812	 2023-03-28 13:45:30.601	0,0488	0,9941	-0,1475	0,4272	-13,4277	1,8311	97,1631	-0,6647	-132,8192	36,63	3,96	-1631	3724	1170
0x50	 14:41:31.867	 2023-03-28 13:45:30.606	0,0488	0,9941	-0,1475	0,4272	-13,4277	1,8311	97,1686	-0,6702	-132,8906	36,63	3,96	-1624	3722	1168
0x50	 14:41:31.868	 2023-03-28 13:45:30.611	0,0405	0,9995	-0,1563	2,3804	-13,1836	0,5493	97,1851	-0,6647	-132,9620	36,63	3,96	-1618	3723	1166
0x50	 14:41:31.868	 2023-03-28 13:45:30.616	0,0405	0,9995	-0,1563	2,3804	-13,1836	0,5493	97,2015	-0,6647	-133,0280	36,63	3,96	-1612	3725	1166
0x50	 14:41:31.869	 2023-03-28 13:45:30.621	0,0405	0,9995	-0,1563	2,3804	-13,1836	0,5493	97,2180	-0,6592	-133,0994	36,63	3,96	-1607	3727	1165
0x50	 14:41:31.869	 2023-03-28 13:45:30.626	0,0405	0,9995	-0,1563	2,3804	-13,1836	0,5493	97,2345	-0,6537	-133,1708	36,63	3,96	-1604	3729	1171
0x50	 14:41:31.908	 2023-03-28 13:45:30.631	0,0371	1,0068	-0,1641	2,6855	-11,5967	-1,0986	97,2510	-0,6482	-133,2312	36,63	3,96	-1605	3730	1176
0x50	 14:41:31.908	 2023-03-28 13:45:30.636	0,0371	1,0068	-0,1641	2,6855	-11,5967	-1,0986	97,2675	-0,6372	-133,2916	36,63	3,96	-1607	3732	1181
0x50	 14:41:31.908	 2023-03-28 13:45:30.641	0,0371	1,0068	-0,1641	2,6855	-11,5967	-1,0986	97,2839	-0,6262	-133,3521	36,63	3,96	-1606	3731	1187
0x50	 14:41:31.908	 2023-03-28 13:45:30.646	0,0371	1,0068	-0,1641	2,6855	-11,5967	-1,0986	97,3004	-0,6152	-133,4125	36,63	3,96	-1599	3729	1189
0x50	 14:41:31.908	 2023-03-28 13:45:30.651	0,0420	1,0088	-0,1538	-2,6245	-7,9956	-1,5259	97,2894	-0,6042	-133,4564	36,60	3,96	-1595	3728	1191
0x50	 14:41:31.908	 2023-03-28 13:45:30.656	0,0420	1,0088	-0,1538	-2,6245	-7,9956	-1,5259	97,2839	-0,5988	-133,5004	36,60	3,96	-1594	3727	1189
0x50	 14:41:31.908	 2023-03-28 13:45:30.661	0,0420	1,0088	-0,1538	-2,6245	-7,9956	-1,5259	97,2729	-0,5878	-133,5443	36,60	3,96	-1590	3725	1183
0x50	 14:41:31.908	 2023-03-28 13:45:30.666	0,0420	1,0088	-0,1538	-2,6245	-7,9956	-1,5259	97,2620	-0,5768	-133,5883	36,60	3,96	-1590	3725	1177
0x50	 14:41:31.908	 2023-03-28 13:45:30.671	0,0513	0,9971	-0,1460	-5,8594	-5,7373	-0,4883	97,2345	-0,5768	-133,6212	36,64	3,96	-1590	3726	1168
0x50	 14:41:31.908	 2023-03-28 13:45:30.676	0,0513	0,9971	-0,1460	-5,8594	-5,7373	-0,4883	97,2125	-0,5713	-133,6487	36,64	3,96	-1587	3726	1161
0x50	 14:41:31.908	 2023-03-28 13:45:30.681	0,0513	0,9971	-0,1460	-5,8594	-5,7373	-0,4883	97,1851	-0,5713	-133,6816	36,64	3,96	-1585	3725	1154
