start(s) end(s) label
00:00:00 00:00:12 2
00:00:12 00:00:23 0
00:00:27 00:00:42 2
00:00:42 00:01:01 2
00:01:01 00:01:16 1.9
00:01:16 00:01:31 2
00:01:31 00:01:44 2
00:01:44 00:01:58 2
00:01:58 00:02:11 2
00:02:11 00:02:29 2
00:02:29 00:02:41 2
00:02:41 00:02:56 2
00:02:56 00:03:13 2
00:03:13 00:03:28 2
00:03:28 00:03:44 2
00:03:53 00:04:02 0
00:04:03 00:04:12 0
00:04:12 00:04:21 0
00:04:22 00:04:31 0
00:04:34 00:04:41 0
00:04:41 00:04:51 0
00:04:51 00:04:57 0
00:04:59 00:05:05 0
00:05:05 00:05:12 0
00:05:12 00:05:21 0
00:05:21 00:05:29 0









