Time	COM	Chip Time()	Acceleration X(g)	Acceleration Y(g)	Acceleration Z(g)	Angular velocity X(/s)	Angular velocity Y(/s)	Angular velocity Z(/s)	Angle X()	Angle Y()	Angle Z()	Magnetic field X(?t)	Magnetic field Y(?t)	Magnetic field Z(?t)	Temperature(?)	Pressure(Pa)	Height(m)	Longitude()	Latitude()	GPS ground speed(km)	GPS course()	GPS height(m)	Number of satellites()	Position location()	Horizontal position()	Vertical position()	Quaternions 0()	Quaternions 1()	Quaternions 2()	Quaternions 3()
03:31:39.986	COM3_115200	2000-0-0 5:23:2.925	0,327	-0,845	1,606	-2,136	0,366	2,075	-27,438	-11,420	157,484	11,400	67,658	-52,142	40,14															
03:31:39.994	COM8_115200	2000-0-0 5:27:30.530	0,333	0,935	1,881	1,160	-3,113	1,282	26,340	-9,124	-48,950	-48,158	62,258	41,300	37,05															
03:31:40.010	COM3_115200	2000-0-0 5:23:2.945	0,331	-0,849	1,606	-2,747	0,854	1,038	-27,493	-11,387	157,505	11,400	67,658	-52,142	40,23															
03:31:40.010	COM8_115200	2000-0-0 5:27:30.550	0,324	0,940	1,875	2,380	-1,953	0,793	26,384	-9,168	-48,955	-48,158	62,258	41,300	36,98															
03:31:40.026	COM3_115200	2000-0-0 5:23:2.965	0,339	-0,848	1,606	-3,723	1,831	0,793	-27,565	-11,343	157,500	11,400	67,658	-52,142	40,36															
03:31:40.026	COM8_115200	2000-0-0 5:27:30.570	0,337	0,941	1,869	2,258	-2,197	1,160	26,428	-9,218	-48,955	-48,158	62,258	41,300	36,95															
03:31:40.041	COM3_115200	2000-0-0 5:23:2.985	0,343	-0,843	1,601	-4,089	1,465	1,465	-27,647	-11,288	157,505	11,400	67,658	-52,142	40,36															
03:31:40.088	COM8_115200	2000-0-0 5:27:30.590	0,328	0,948	1,873	2,625	-1,465	2,136	26,483	-9,261	-48,939	-48,158	62,258	41,300	37,08															
03:31:40.088	COM8_115200	2000-0-0 5:27:30.610	0,332	0,948	1,869	2,136	-2,136	1,831	26,526	-9,311	-48,917	-48,158	62,258	41,300	37,01															
03:31:40.088	COM8_115200	2000-0-0 5:27:30.630	0,334	0,943	1,866	1,953	-2,563	1,038	26,565	-9,360	-48,911	-48,158	62,258	41,300	37,05															
03:31:40.088	COM3_115200	2000-0-0 5:23:3.005	0,331	-0,841	1,599	-3,662	0,000	2,380	-27,729	-11,250	157,538	11,400	67,658	-52,142	40,29															
03:31:40.088	COM3_115200	2000-0-0 5:23:3.025	0,331	-0,837	1,596	-3,418	-0,122	1,953	-27,806	-11,223	157,577	11,400	67,658	-52,142	40,29															
03:31:40.120	COM8_115200	2000-0-0 5:27:30.650	0,330	0,930	1,859	2,197	-2,075	1,160	26,609	-9,404	-48,917	-48,158	62,258	41,300	36,98															
03:31:40.120	COM3_115200	2000-0-0 5:23:3.045	0,330	-0,839	1,593	-3,601	0,549	1,709	-27,878	-11,195	157,610	11,400	67,658	-52,142	40,33															
03:31:40.120	COM3_115200	2000-0-0 5:23:3.065	0,332	-0,836	1,593	-3,662	0,793	2,258	-27,955	-11,151	157,637	11,400	67,658	-52,142	40,26															
03:31:40.135	COM8_115200	2000-0-0 5:27:30.670	0,332	0,937	1,852	2,686	-0,854	1,648	26,664	-9,432	-48,906	-48,158	62,258	41,300	37,01															
03:31:40.135	COM3_115200	2000-0-0 5:23:3.085	0,327	-0,837	1,595	-3,113	0,732	2,747	-28,032	-11,107	157,676	11,400	67,658	-52,142	40,42															
03:31:40.166	COM3_115200	2000-0-0 5:23:3.105	0,327	-0,840	1,590	-2,319	-0,671	1,953	-28,087	-11,080	157,720	11,400	67,658	-52,142	40,29															
03:31:40.182	COM3_115200	2000-0-0 5:23:3.125	0,335	-0,839	1,580	-1,770	-0,610	1,038	-28,130	-11,069	157,747	11,400	67,658	-52,142	40,33															
03:31:40.182	COM8_115200	2000-0-0 5:27:30.690	0,333	0,943	1,851	2,747	-0,366	1,526	26,713	-9,454	-48,878	-48,158	62,258	41,300	36,92															
03:31:40.182	COM8_115200	2000-0-0 5:27:30.710	0,341	0,936	1,856	2,380	0,244	0,977	26,757	-9,459	-48,856	-48,158	62,258	41,300	36,98															
03:31:40.182	COM8_115200	2000-0-0 5:27:30.730	0,338	0,937	1,853	1,648	-0,061	0,671	26,796	-9,465	-48,845	-48,158	62,258	41,300	37,01															
