Time	COM	Chip Time()	Acceleration X(g)	Acceleration Y(g)	Acceleration Z(g)	Angular velocity X(/s)	Angular velocity Y(/s)	Angular velocity Z(/s)	Angle X()	Angle Y()	Angle Z()	Magnetic field X	Magnetic field Y	Magnetic field Z	Temperature()	Pressure(Pa)	Height(m)	Longitude()	Latitude()	GPS ground speed(km)	GPS course()	GPS height(m)	Number of satellites()	Position location()	Horizontal position()	Vertical position()	Quaternions 0()	Quaternions 1()	Quaternions 2()	Quaternions 3()
22:35:12.942	COM3_115200	2000-0-0 0:25:53.245	0,266	-0,871	1,644	5,554	-22,461	-3,296	-45,319	-17,501	-167,712	-18,042	143,225	-1,725	38,70															
22:35:12.995	COM8_115200	2000-0-0 0:31:4.430	0,379	0,841	1,611	-3,723	8,728	-2,930	40,935	-36,178	-60,804	-48,158	62,258	41,300	36,04															
22:35:12.996	COM8_115200	2000-0-0 0:31:4.450	0,386	0,838	1,615	-3,418	11,230	-1,770	40,600	-35,711	-60,551	-48,158	62,258	41,300	35,94															
22:35:12.998	COM8_115200	2000-0-0 0:31:4.470	0,385	0,838	1,632	-2,441	9,766	0,000	40,259	-35,272	-60,271	-48,158	62,258	41,300	36,00															
22:35:13.002	COM3_115200	2000-0-0 0:25:53.265	0,254	-0,875	1,642	6,653	-19,836	-3,357	-45,060	-17,726	-167,492	-18,092	143,200	-1,617	38,72															
22:35:13.006	COM3_115200	2000-0-0 0:25:53.285	0,279	-0,884	1,636	7,629	-17,212	-3,784	-44,775	-17,924	-167,305	-18,158	143,242	-1,708	38,69															
22:35:13.010	COM3_115200	2000-0-0 0:25:53.305	0,253	-0,906	1,640	7,874	-13,306	-4,089	-44,462	-18,073	-167,195	-18,183	143,283	-1,883	38,73															
22:35:13.012	COM8_115200	2000-0-0 0:31:4.490	0,393	0,841	1,650	-2,441	7,629	1,221	39,946	-34,887	-60,007	-48,158	62,258	41,300	36,03															
22:35:13.013	COM3_115200	2000-0-0 0:25:53.325	0,244	-0,908	1,658	7,568	-12,573	-3,235	-44,154	-18,193	-167,102	-18,200	143,333	-2,242	38,68															
22:35:13.029	COM8_115200	2000-0-0 0:31:4.510	0,378	0,847	1,631	-0,793	9,705	1,587	39,639	-34,503	-59,727	-48,158	62,258	41,300	35,97															
22:35:13.029	COM3_115200	2000-0-0 0:25:53.345	0,242	-0,903	1,664	7,324	-10,681	-1,648	-43,857	-18,276	-166,998	-18,275	143,408	-2,617	38,75															
22:35:13.045	COM8_115200	2000-0-0 0:31:4.530	0,392	0,848	1,629	1,038	9,216	1,160	39,380	-34,113	-59,442	-48,158	62,258	41,300	36,00															
22:35:13.061	COM3_115200	2000-0-0 0:25:53.365	0,266	-0,902	1,663	6,226	-7,202	-1,465	-43,561	-18,292	-166,943	-18,275	143,375	-2,708	38,71															
22:35:13.076	COM8_115200	2000-0-0 0:31:4.550	0,418	0,844	1,652	1,953	8,301	0,793	39,155	-33,734	-59,189	-48,158	62,258	41,300	35,96															
22:35:13.076	COM3_115200	2000-0-0 0:25:53.385	0,243	-0,886	1,662	4,150	-5,188	-1,770	-43,297	-18,281	-166,921	-18,317	143,317	-2,842	38,76															
22:35:13.092	COM3_115200	2000-0-0 0:25:53.405	0,238	-0,876	1,674	2,136	-4,944	-1,770	-43,072	-18,254	-166,915	-18,275	143,292	-2,892	38,74															
22:35:13.092	COM8_115200	2000-0-0 0:31:4.570	0,388	0,835	1,649	3,235	7,690	0,916	38,969	-33,371	-58,947	-48,158	62,258	41,300	36,01															
22:35:13.107	COM8_115200	2000-0-0 0:31:4.590	0,396	0,840	1,626	4,333	6,775	1,160	38,809	-33,025	-58,716	-48,158	62,258	41,300	36,00															
22:35:13.139	COM8_115200	2000-0-0 0:31:4.610	0,392	0,833	1,631	5,127	7,141	1,465	38,672	-32,690	-58,491	-48,158	62,258	41,300	35,98															
22:35:13.154	COM3_115200	2000-0-0 0:25:53.425	0,230	-0,876	1,673	0,305	-3,052	-2,380	-42,874	-18,215	-166,932	-18,333	143,308	-2,967	38,76															
22:35:13.154	COM8_115200	2000-0-0 0:31:4.630	0,367	0,822	1,622	6,409	4,944	3,052	38,562	-32,393	-58,271	-48,158	62,258	41,300	36,00															
22:35:13.154	COM3_115200	2000-0-0 0:25:53.445	0,252	-0,870	1,664	-2,136	-0,854	-2,930	-42,709	-18,149	-166,992	-18,442	143,317	-3,108	38,71															
22:35:13.154	COM3_115200	2000-0-0 0:25:53.465	0,238	-0,866	1,667	-4,211	0,000	-3,845	-42,583	-18,078	-167,075	-18,458	143,367	-3,083	38,71															
22:35:13.170	COM8_115200	2000-0-0 0:31:4.650	0,368	0,831	1,605	6,348	6,592	4,761	38,441	-32,119	-58,019	-48,158	62,258	41,300	36,03															
22:35:13.185	COM3_115200	2000-0-0 0:25:53.485	0,232	-0,868	1,659	-6,226	0,732	-5,249	-42,484	-18,012	-167,190	-18,575	143,383	-3,050	38,71															
22:35:13.201	COM8_115200	2000-0-0 0:31:4.670	0,393	0,815	1,613	4,150	5,127	9,705	38,271	-31,888	-57,706	-48,158	62,258	41,300	36,00															
22:35:13.201	COM3_115200	2000-0-0 0:25:53.505	0,208	-0,844	1,665	-8,057	2,380	-7,446	-42,413	-17,952	-167,355	-18,700	143,375	-3,058	38,75															
22:35:13.217	COM8_115200	2000-0-0 0:31:4.690	0,473	0,780	1,597	6,470	5,249	16,113	38,051	-31,745	-57,294	-48,158	62,258	41,300	35,93															
22:35:13.217	COM3_115200	2000-0-0 0:25:53.525	0,202	-0,822	1,656	-10,315	4,883	-11,536	-42,352	-17,902	-167,596	-18,742	143,308	-2,850	38,76															
22:35:13.232	COM8_115200	2000-0-0 0:31:4.710	0,377	0,784	1,631	7,935	4,700	20,630	37,815	-31,663	-56,761	-48,158	62,258	41,300	35,98															
22:35:13.232	COM3_115200	2000-0-0 0:25:53.545	0,387	-0,791	1,644	-13,123	8,667	-18,250	-42,303	-17,880	-167,981	-18,917	143,267	-2,608	38,74															
22:35:13.248	COM8_115200	2000-0-0 0:31:4.730	0,423	0,788	1,654	6,287	4,700	20,142	37,557	-31,608	-56,239	-48,158	62,258	41,300	36,09															
22:35:13.263	COM3_115200	2000-0-0 0:25:53.565	0,306	-0,866	1,581	-17,456	18,127	-20,752	-42,264	-17,831	-168,547	-19,233	143,233	-2,325	38,76															
22:35:13.279	COM3_115200	2000-0-0 0:25:53.585	0,240	-0,863	1,602	-19,592	5,066	-17,456	-42,325	-17,798	-169,030	-19,667	143,117	-2,092	38,69															
22:35:13.279	COM8_115200	2000-0-0 0:31:4.750	0,418	0,830	1,624	4,700	2,563	21,667	37,282	-31,591	-55,712	-48,158	62,258	41,300	36,00															
22:35:13.295	COM3_115200	2000-0-0 0:25:53.605	0,233	-0,873	1,625	-21,301	0,977	-15,869	-42,468	-17,886	-169,327	-20,183	143,100	-1,708	38,73															
22:35:13.295	COM8_115200	2000-0-0 0:31:4.770	0,438	0,808	1,593	9,460	4,761	23,193	37,024	-31,564	-55,146	-48,158	62,258	41,300	35,97															
22:35:13.310	COM8_115200	2000-0-0 0:31:4.790	0,454	0,836	1,587	12,207	2,625	22,095	36,865	-31,564	-54,613	-48,158	62,258	41,300	36,00															
22:35:13.326	COM3_115200	2000-0-0 0:25:53.625	0,259	-0,864	1,651	-22,278	10,498	-20,508	-42,610	-17,930	-169,728	-20,725	143,058	-1,208	38,70															
22:35:13.342	COM8_115200	2000-0-0 0:31:4.810	0,388	0,844	1,584	15,320	4,700	17,212	36,793	-31,525	-54,113	-48,158	62,258	41,300	35,97															
22:35:13.357	COM3_115200	2000-0-0 0:25:53.645	0,491	-0,865	1,606	-25,391	26,733	-25,024	-42,704	-17,831	-170,431	-21,317	142,933	-0,667	38,73															
22:35:13.357	COM8_115200	2000-0-0 0:31:4.830	0,398	0,858	1,610	12,329	5,188	15,198	36,749	-31,415	-53,668	-48,158	62,258	41,300	36,00															
22:35:13.357	COM8_115200	2000-0-0 0:31:4.850	0,448	0,824	1,581	11,292	5,737	15,381	36,650	-31,300	-53,240	-48,158	62,258	41,300	35,99															
22:35:13.373	COM3_115200	2000-0-0 0:25:53.665	0,423	-0,913	1,537	-25,879	34,485	-18,860	-42,786	-17,556	-171,271	-21,967	142,817	-0,233	38,71															
22:35:13.373	COM3_115200	2000-0-0 0:25:53.685	0,360	-0,916	1,582	-18,433	9,155	-7,813	-42,907	-17,309	-171,766	-22,583	142,708	0,200	38,68															
22:35:13.389	COM8_115200	2000-0-0 0:31:4.870	0,527	0,796	1,592	11,169	-0,366	14,221	36,584	-31,212	-52,850	-48,158	62,258	41,300	35,97															
22:35:13.389	COM3_115200	2000-0-0 0:25:53.705	0,329	-0,870	1,700	-12,512	-0,244	-7,263	-42,973	-17,309	-171,909	-23,100	142,625	0,725	38,71															
