Time	COM	Chip Time()	Acceleration X(g)	Acceleration Y(g)	Acceleration Z(g)	Angular velocity X(/s)	Angular velocity Y(/s)	Angular velocity Z(/s)	Angle X()	Angle Y()	Angle Z()	Magnetic field X(?t)	Magnetic field Y(?t)	Magnetic field Z(?t)	Temperature(?)	Pressure(Pa)	Height(m)	Longitude()	Latitude()	GPS ground speed(km)	GPS course()	GPS height(m)	Number of satellites()	Position location()	Horizontal position()	Vertical position()	Quaternions 0()	Quaternions 1()	Quaternions 2()	Quaternions 3()
02:54:18.941	COM8_115200	2000-0-0 4:50:10.310	0,204	0,974	1,809	-4,272	4,639	-0,671	29,575	-9,465	-156,731	-48,158	62,258	41,300	37,30															
02:54:18.948	COM3_115200	2000-0-0 4:45:36.825	0,275	-0,949	2,017	2,197	-1,160	-0,916	-27,301	-8,855	-36,760	11,400	67,658	-52,142	39,79															
02:54:18.948	COM8_115200	2000-0-0 4:50:10.330	0,204	0,969	1,807	-3,479	3,967	-0,366	29,476	-9,338	-156,687	-48,158	62,258	41,300	37,55															
02:54:18.964	COM3_115200	2000-0-0 4:45:36.845	0,274	-0,950	2,015	4,089	-1,953	-0,366	-27,213	-8,860	-36,749	11,400	67,658	-52,142	39,73															
02:54:18.980	COM3_115200	2000-0-0 4:45:36.865	0,292	-0,925	2,027	4,272	-3,540	0,000	-27,109	-8,899	-36,716	11,400	67,658	-52,142	39,79															
02:54:18.995	COM8_115200	2000-0-0 4:50:10.350	0,218	0,966	1,813	-2,747	1,953	0,244	29,399	-9,245	-156,654	-48,158	62,258	41,300	37,33															
02:54:18.995	COM8_115200	2000-0-0 4:50:10.370	0,215	0,972	1,816	-2,258	1,099	0,610	29,333	-9,179	-156,621	-48,158	62,258	41,300	37,39															
02:54:18.995	COM3_115200	2000-0-0 4:45:36.885	0,274	-0,948	2,025	3,357	-3,784	-0,793	-27,021	-8,943	-36,694	11,400	67,658	-52,142	39,85															
02:54:19.042	COM8_115200	2000-0-0 4:50:10.390	0,206	0,968	1,824	-2,380	0,610	0,916	29,273	-9,135	-156,594	-48,158	62,258	41,300	37,42															
02:54:19.042	COM8_115200	2000-0-0 4:50:10.410	0,207	0,962	1,827	-4,517	0,000	0,793	29,180	-9,097	-156,566	-48,158	62,258	41,300	37,30															
02:54:19.042	COM3_115200	2000-0-0 4:45:36.905	0,277	-0,946	2,027	5,249	-4,211	0,366	-26,911	-8,992	-36,656	11,400	67,658	-52,142	39,79															
02:54:19.073	COM8_115200	2000-0-0 4:50:10.430	0,218	0,964	1,824	-2,930	0,671	1,160	29,092	-9,064	-156,539	-48,158	62,258	41,300	37,42															
02:54:19.073	COM3_115200	2000-0-0 4:45:36.925	0,289	-0,935	2,032	5,676	-4,883	0,183	-26,785	-9,053	-36,612	11,400	67,658	-52,142	39,70															
02:54:19.073	COM3_115200	2000-0-0 4:45:36.945	0,287	-0,948	2,049	4,517	-6,104	-1,038	-26,669	-9,130	-36,568	11,400	67,658	-52,142	39,76															
02:54:19.073	COM8_115200	2000-0-0 4:50:10.450	0,201	0,970	1,838	-3,113	-0,427	1,831	29,015	-9,036	-156,506	-48,158	62,258	41,300	37,27															
02:54:19.073	COM3_115200	2000-0-0 4:45:36.965	0,276	-0,951	2,046	5,432	-7,019	-0,183	-26,559	-9,223	-36,519	11,400	67,658	-52,142	39,85															
02:54:19.089	COM8_115200	2000-0-0 4:50:10.470	0,232	0,967	1,840	-2,930	0,488	1,770	28,932	-9,020	-156,467	-48,158	62,258	41,300	37,36															
02:54:19.105	COM3_115200	2000-0-0 4:45:36.985	0,300	-0,945	2,049	4,272	-7,751	-1,343	-26,455	-9,349	-36,453	11,400	67,658	-52,142	39,82															
02:54:19.120	COM3_115200	2000-0-0 4:45:37.005	0,274	-0,957	2,037	3,052	-6,287	-1,465	-26,378	-9,454	-36,425	11,400	67,658	-52,142	39,73															
02:54:19.120	COM8_115200	2000-0-0 4:50:10.490	0,212	0,976	1,839	-1,404	2,197	1,770	28,878	-8,965	-156,412	-48,158	62,258	41,300	37,30															
02:54:19.136	COM8_115200	2000-0-0 4:50:10.510	0,231	0,978	1,847	-0,854	2,563	1,709	28,839	-8,910	-156,352	-48,158	62,258	41,300	37,42															
02:54:19.136	COM3_115200	2000-0-0 4:45:37.025	0,281	-0,942	2,036	3,296	-5,920	-1,343	-26,296	-9,553	-36,387	11,400	67,658	-52,142	39,63															
02:54:19.167	COM3_115200	2000-0-0 4:45:37.045	0,288	-0,950	2,051	3,357	-5,188	-1,038	-26,224	-9,624	-36,359	11,400	67,658	-52,142	39,76															
02:54:19.167	COM8_115200	2000-0-0 4:50:10.530	0,207	0,979	1,852	-1,404	2,625	0,977	28,801	-8,833	-156,297	-48,158	62,258	41,300	37,33															
02:54:19.183	COM8_115200	2000-0-0 4:50:10.550	0,235	0,986	1,850	-2,441	0,793	1,038	28,740	-8,789	-156,264	-48,158	62,258	41,300	37,33															
02:54:19.183	COM3_115200	2000-0-0 4:45:37.065	0,270	-0,959	2,038	3,479	-5,066	-1,038	-26,153	-9,684	-36,337	11,400	67,658	-52,142	39,76															
02:54:19.198	COM8_115200	2000-0-0 4:50:10.570	0,226	0,987	1,849	-2,075	0,183	0,732	28,685	-8,751	-156,231	-48,158	62,258	41,300	37,39															
02:54:19.198	COM3_115200	2000-0-0 4:45:37.085	0,284	-0,950	2,046	3,662	-3,845	0,000	-26,065	-9,745	-36,293	11,400	67,658	-52,142	39,85															
02:54:19.214	COM8_115200	2000-0-0 4:50:10.590	0,223	0,987	1,862	-2,502	-1,831	0,122	28,630	-8,740	-156,226	-48,158	62,258	41,300	37,33															
02:54:19.229	COM3_115200	2000-0-0 4:45:37.105	0,278	-0,960	2,050	4,089	-3,296	-0,061	-25,988	-9,778	-36,266	11,400	67,658	-52,142	39,82															
02:54:19.229	COM8_115200	2000-0-0 4:50:10.610	0,227	0,972	1,848	-2,625	-2,380	-0,610	28,570	-8,745	-156,242	-48,158	62,258	41,300	37,39															
02:54:19.245	COM3_115200	2000-0-0 4:45:37.125	0,283	-0,945	2,051	3,235	-2,380	-0,305	-25,900	-9,794	-36,233	11,400	67,658	-52,142	39,79															
02:54:19.261	COM8_115200	2000-0-0 4:50:10.630	0,221	0,971	1,847	-1,221	-1,343	-0,732	28,531	-8,734	-156,264	-48,158	62,258	41,300	37,42															
02:54:19.261	COM3_115200	2000-0-0 4:45:37.145	0,276	-0,953	2,047	2,075	0,000	-0,366	-25,845	-9,783	-36,233	11,400	67,658	-52,142	39,70															
02:54:19.276	COM8_115200	2000-0-0 4:50:10.650	0,218	0,971	1,850	-1,282	-1,160	-0,183	28,504	-8,718	-156,275	-48,158	62,258	41,300	37,49															
02:54:19.292	COM3_115200	2000-0-0 4:45:37.165	0,278	-0,952	2,067	2,441	-1,526	-0,793	-25,785	-9,767	-36,238	11,400	67,658	-52,142	39,79															
02:54:19.292	COM8_115200	2000-0-0 4:50:10.670	0,229	0,964	1,851	-1,038	-1,099	-0,427	28,466	-8,707	-156,286	-48,158	62,258	41,300	37,39															
02:54:19.292	COM3_115200	2000-0-0 4:45:37.185	0,295	-0,943	2,052	1,648	-0,732	-0,854	-25,730	-9,772	-36,233	11,400	67,658	-52,142	39,70															
02:54:19.308	COM8_115200	2000-0-0 4:50:10.690	0,214	0,980	1,852	-0,366	-0,610	-1,099	28,455	-8,674	-156,297	-48,158	62,258	41,300	37,33															
02:54:19.323	COM3_115200	2000-0-0 4:45:37.205	0,278	-0,950	2,054	0,793	-0,366	-1,587	-25,697	-9,761	-36,255	11,400	67,658	-52,142	39,76															
02:54:19.339	COM8_115200	2000-0-0 4:50:10.710	0,217	0,973	1,849	-0,549	-1,160	-0,549	28,438	-8,652	-156,313	-48,158	62,258	41,300	37,33															
02:54:19.339	COM3_115200	2000-0-0 4:45:37.225	0,284	-0,947	2,055	1,770	-1,709	-0,732	-25,659	-9,761	-36,260	11,400	67,658	-52,142	39,85															
