Time	COM	Chip Time()	Acceleration X(g)	Acceleration Y(g)	Acceleration Z(g)	Angular velocity X(/s)	Angular velocity Y(/s)	Angular velocity Z(/s)	Angle X()	Angle Y()	Angle Z()	Magnetic field X(?t)	Magnetic field Y(?t)	Magnetic field Z(?t)	Temperature(?)	Pressure(Pa)	Height(m)	Longitude()	Latitude()	GPS ground speed(km)	GPS course()	GPS height(m)	Number of satellites()	Position location()	Horizontal position()	Vertical position()	Quaternions 0()	Quaternions 1()	Quaternions 2()	Quaternions 3()
21:20:08.801	COM3	2000-0-0 16:24:3.575	0,456	-0,804	2,316	15,686	-4,639	2,136	-19,902	-9,075	-74,460	3,875	72,433	31,550	41,15															
21:20:08.811	COM3	2000-0-0 16:24:3.595	0,477	-0,808	2,311	10,681	4,517	4,211	-19,655	-9,003	-74,399	3,875	72,433	31,550	41,08															
21:20:08.815	COM8	2000-0-0 16:21:45.835	0,223	0,928	2,270	-10,376	-10,315	8,118	22,253	-5,235	-158,912				38,69															
21:20:08.828	COM8	2000-0-0 16:21:45.855	0,252	0,944	2,279	-8,911	-13,916	8,179	22,077	-5,548	-158,857				38,75															
21:20:08.832	COM3	2000-0-0 16:24:3.615	0,488	-0,823	2,319	8,423	4,944	2,319	-19,473	-8,948	-74,355	3,875	72,433	31,550	41,05															
21:20:08.848	COM3	2000-0-0 16:24:3.635	0,488	-0,814	2,351	5,859	13,733	0,305	-19,325	-8,762	-74,405	3,875	72,433	31,550	41,11															
21:20:08.854	COM8	2000-0-0 16:21:45.875	0,238	0,911	2,255	-8,606	-10,315	8,362	21,901	-5,845	-158,802				38,81															
21:20:08.873	COM8	2000-0-0 16:21:45.895	0,272	0,915	2,242	-8,240	-9,399	9,399	21,731	-6,070	-158,698				38,75															
21:20:08.877	COM3	2000-0-0 16:24:3.655	0,477	-0,795	2,358	1,526	15,076	-0,366	-19,248	-8,498	-74,504	3,875	72,433	31,550	41,05															
21:20:08.885	COM8	2000-0-0 16:21:45.915	0,275	0,923	2,250	-11,719	-6,958	10,437	21,533	-6,301	-158,577				38,75															
21:20:08.892	COM3	2000-0-0 16:24:3.675	0,471	-0,790	2,323	-2,563	16,296	-1,770	-19,259	-8,273	-74,614	3,875	72,433	31,550	41,08															
21:20:08.904	COM8	2000-0-0 16:21:45.935	0,250	0,913	2,214	-17,151	0,854	12,024	21,226	-6,405	-158,373				38,75															
21:20:08.910	COM3	2000-0-0 16:24:3.695	0,427	-0,788	2,298	-2,747	33,142	-3,784	-19,281	-7,817	-74,844	3,875	72,433	31,550	41,08															
