Time	COM	Chip Time()	Acceleration X(g)	Acceleration Y(g)	Acceleration Z(g)	Angular velocity X(/s)	Angular velocity Y(/s)	Angular velocity Z(/s)	Angle X()	Angle Y()	Angle Z()	Magnetic field X(?t)	Magnetic field Y(?t)	Magnetic field Z(?t)	Temperature(?)	Pressure(Pa)	Height(m)	Longitude()	Latitude()	GPS ground speed(km)	GPS course()	GPS height(m)	Number of satellites()	Position location()	Horizontal position()	Vertical position()	Quaternions 0()	Quaternions 1()	Quaternions 2()	Quaternions 3()
03:18:32.662	COM3_115200	2000-0-0 1:32:40.125	-0,302	0,923	1,725	-0,732	0,000	-0,427	27,669	8,410	46,829				39,82															
03:18:32.665	COM8_115200	2000-0-0 1:30:20.360	0,192	0,975	1,830	-0,854	-0,549	-0,793	27,636	-5,729	-150,870				37,14															
03:18:32.665	COM3_115200	2000-0-0 1:32:40.145	-0,301	0,918	1,731	-0,671	-0,427	-0,061	27,658	8,410	46,824				39,92															
03:18:32.683	COM8_115200	2000-0-0 1:30:20.380	0,188	0,973	1,833	-0,977	-0,854	-0,793	27,625	-5,724	-150,892				37,27															
03:18:32.699	COM3_115200	2000-0-0 1:32:40.165	-0,304	0,916	1,733	-0,732	-0,916	-0,244	27,647	8,405	46,818				39,82															
03:18:32.699	COM8_115200	2000-0-0 1:30:20.400	0,185	0,974	1,839	-1,038	-1,526	-0,854	27,614	-5,729	-150,919				37,20															
03:18:32.716	COM3_115200	2000-0-0 1:32:40.185	-0,311	0,922	1,730	-0,732	-1,709	-0,427	27,631	8,388	46,796				39,85															
03:18:32.716	COM8_115200	2000-0-0 1:30:20.420	0,187	0,974	1,837	-0,977	-1,770	-0,977	27,603	-5,740	-150,952				37,20															
03:18:32.734	COM3_115200	2000-0-0 1:32:40.205	-0,310	0,918	1,737	-0,793	-1,831	-0,549	27,614	8,366	46,774				39,85															
03:18:32.747	COM8_115200	2000-0-0 1:30:20.440	0,180	0,975	1,832	-0,854	-1,404	-0,610	27,592	-5,757	-150,980				37,11															
03:18:32.749	COM3_115200	2000-0-0 1:32:40.225	-0,309	0,921	1,738	-0,488	-1,770	-0,732	27,609	8,350	46,741				39,79															
03:18:32.767	COM8_115200	2000-0-0 1:30:20.460	0,178	0,975	1,832	-0,854	-1,038	-0,244	27,581	-5,762	-150,996				37,27															
03:18:32.782	COM3_115200	2000-0-0 1:32:40.245	-0,320	0,936	1,737	-0,366	-1,160	-0,549	27,603	8,333	46,719				39,70															
03:18:32.784	COM8_115200	2000-0-0 1:30:20.480	0,183	0,984	1,835	-0,854	-1,038	-0,427	27,570	-5,768	-151,007				37,27															
03:18:32.789	COM3_115200	2000-0-0 1:32:40.265	-0,292	0,938	1,735	-0,671	-0,488	0,122	27,592	8,328	46,714				39,92															
03:18:32.801	COM8_115200	2000-0-0 1:30:20.500	0,193	0,979	1,831	-0,916	-1,221	-1,099	27,559	-5,773	-151,040				37,17															
03:18:32.815	COM3_115200	2000-0-0 1:32:40.285	-0,298	0,919	1,739	-0,549	0,122	0,305	27,587	8,333	46,719				39,63															
03:18:32.824	COM8_115200	2000-0-0 1:30:20.520	0,188	0,977	1,839	-0,732	-0,671	-1,160	27,548	-5,773	-151,068				37,23															
03:18:32.836	COM3_115200	2000-0-0 1:32:40.305	-0,308	0,917	1,742	-0,122	-0,427	-0,061	27,592	8,339	46,719				39,85															
03:18:32.846	COM8_115200	2000-0-0 1:30:20.540	0,181	0,974	1,842	-0,549	-0,732	-1,221	27,548	-5,762	-151,095				37,27															
03:18:32.861	COM3_115200	2000-0-0 1:32:40.325	-0,316	0,927	1,742	-0,061	-0,854	-0,183	27,592	8,339	46,714				39,82															
03:18:32.869	COM8_115200	2000-0-0 1:30:20.560	0,184	0,977	1,839	-0,305	-0,549	-1,099	27,548	-5,757	-151,122				37,36															
03:18:32.874	COM3_115200	2000-0-0 1:32:40.345	-0,309	0,922	1,746	-0,244	-0,488	0,061	27,592	8,344	46,708				39,79															
