Time	COM	Chip Time()	Acceleration X(g)	Acceleration Y(g)	Acceleration Z(g)	Angular velocity X(/s)	Angular velocity Y(/s)	Angular velocity Z(/s)	Angle X()	Angle Y()	Angle Z()	Magnetic field X(?t)	Magnetic field Y(?t)	Magnetic field Z(?t)	Temperature(?)	Pressure(Pa)	Height(m)	Longitude()	Latitude()	GPS ground speed(km)	GPS course()	GPS height(m)	Number of satellites()	Position location()	Horizontal position()	Vertical position()	Quaternions 0()	Quaternions 1()	Quaternions 2()	Quaternions 3()
01:53:54.605	COM3_115200	2000-0-0 0:7:48.885	0,571	-0,775	1,747	-8,423	-5,615	-2,869	-23,626	-11,239	167,750				36,60															
01:53:54.631	COM8_115200	2000-0-0 0:5:41.720	0,438	0,775	1,516	3,479	2,075	2,197	21,643	-23,676	-94,114				33,95															
01:53:54.631	COM8_115200	2000-0-0 0:5:41.740	0,460	0,769	1,516	2,319	3,784	2,136	21,731	-23,522	-94,048				34,17															
01:53:54.647	COM3_115200	2000-0-0 0:7:48.905	0,573	-0,783	1,728	-7,935	-5,920	-1,648	-23,796	-11,420	167,761				36,60															
01:53:54.647	COM3_115200	2000-0-0 0:7:48.925	0,572	-0,783	1,724	-6,409	-5,859	-2,319	-23,939	-11,602	167,772				36,67															
01:53:54.647	COM8_115200	2000-0-0 0:5:41.760	0,445	0,763	1,520	2,441	3,052	1,770	21,813	-23,368	-93,977				33,99															
01:53:54.663	COM3_115200	2000-0-0 0:7:48.945	0,563	-0,770	1,720	-4,578	-4,883	-2,502	-24,044	-11,772	167,767				36,67															
01:53:54.663	COM8_115200	2000-0-0 0:5:41.780	0,431	0,759	1,529	1,953	1,953	2,563	21,890	-23,236	-93,911				34,08															
01:53:54.705	COM8_115200	2000-0-0 0:5:41.800	0,442	0,766	1,523	1,648	1,221	2,625	21,962	-23,126	-93,845				34,02															
01:53:54.705	COM8_115200	2000-0-0 0:5:41.820	0,449	0,750	1,530	1,587	1,526	2,502	22,028	-23,016	-93,785				34,11															
01:53:54.705	COM3_115200	2000-0-0 0:7:48.965	0,564	-0,763	1,716	-3,174	-3,784	-1,892	-24,120	-11,926	167,767				36,64															
01:53:54.705	COM3_115200	2000-0-0 0:7:48.985	0,563	-0,782	1,715	-1,953	-1,099	-1,831	-24,164	-12,014	167,745				36,70															
01:53:54.722	COM3_115200	2000-0-0 0:7:49.005	0,562	-0,767	1,715	-0,793	-1,038	-1,404	-24,186	-12,101	167,723				36,64															
01:53:54.722	COM8_115200	2000-0-0 0:5:41.840	0,447	0,771	1,521	1,648	0,244	3,113	22,088	-22,923	-93,719				34,05															
01:53:54.739	COM3_115200	2000-0-0 0:7:49.025	0,586	-0,771	1,720	0,183	-0,732	-1,038	-24,186	-12,178	167,712				36,60															
