Time	COM	Chip Time()	Acceleration X(g)	Acceleration Y(g)	Acceleration Z(g)	Angular velocity X(/s)	Angular velocity Y(/s)	Angular velocity Z(/s)	Angle X()	Angle Y()	Angle Z()	Magnetic field X(?t)	Magnetic field Y(?t)	Magnetic field Z(?t)	Temperature(?)	Pressure(Pa)	Height(m)	Longitude()	Latitude()	GPS ground speed(km)	GPS course()	GPS height(m)	Number of satellites()	Position location()	Horizontal position()	Vertical position()	Quaternions 0()	Quaternions 1()	Quaternions 2()	Quaternions 3()
03:11:19.822	COM3_115200	2000-0-0 1:25:26.165	0,504	-0,865	1,840	9,888	-4,578	-28,503	-30,465	-33,695	164,553				39,44															
03:11:19.828	COM8_115200	2000-0-0 1:23:7.480	0,529	0,883	1,940	-7,202	-15,259	24,719	21,649	-37,524	32,849				37,71															
03:11:19.872	COM3_115200	2000-0-0 1:25:26.185	0,473	-0,941	1,794	8,789	-0,427	-23,682	-29,888	-33,717	163,911				39,57															
03:11:19.873	COM3_115200	2000-0-0 1:25:26.205	0,373	-0,988	1,802	5,737	-20,752	-17,639	-29,614	-33,871	163,537				39,57															
03:11:19.884	COM8_115200	2000-0-0 1:23:7.500	0,565	0,849	1,923	-5,371	-20,996	21,790	21,352	-37,755	33,223				37,80															
03:11:19.890	COM8_115200	2000-0-0 1:23:7.520	0,513	0,870	1,896	-0,977	-18,921	20,813	21,138	-37,985	33,563				37,80															
03:11:19.894	COM8_115200	2000-0-0 1:23:7.540	0,538	0,882	1,850	-1,160	-24,597	20,630	20,984	-38,238	33,871				37,80															
03:11:19.902	COM3_115200	2000-0-0 1:25:26.225	0,455	-0,867	1,876	19,043	-35,645	-15,015	-29,240	-34,299	163,416				39,66															
03:11:19.905	COM8_115200	2000-0-0 1:23:7.560	0,534	0,854	1,835	-0,610	-25,513	17,639	20,880	-38,551	34,091				37,80															
03:11:19.909	COM3_115200	2000-0-0 1:25:26.245	0,473	-0,896	1,848	14,343	-40,955	-12,512	-28,993	-34,882	163,493				39,66															
03:11:19.927	COM3_115200	2000-0-0 1:25:26.265	0,425	-0,943	1,822	13,733	-50,476	-4,089	-28,911	-35,475	163,801				39,66															
03:11:19.938	COM8_115200	2000-0-0 1:23:7.580	0,555	0,837	1,791	-1,465	-26,123	13,977	20,825	-38,848	34,233				37,83															
03:11:19.940	COM8_115200	2000-0-0 1:23:7.600	0,516	0,854	1,788	-0,305	-26,733	11,841	20,814	-39,144	34,321				37,74															
03:11:19.945	COM3_115200	2000-0-0 1:25:26.285	0,491	-0,918	1,848	6,775	-49,316	2,258	-28,987	-36,046	164,268				39,63															
