ax_left,ay_left,az_left,wx_left,wy_left,wz_left,ax_right,ay_right,az_right,wx_right,wy_right,wz_right,id,time,person
0.456,-0.804,2.316,15.686,-4.639,2.136,0.223,0.928,2.27,-10.376,-10.315,8.118,43,0,Avi
0.477,-0.808,2.311,10.681,4.517,4.211,0.252,0.944,2.279,-8.911,-13.916,8.179,43,1,Avi
0.488,-0.823,2.319,8.423,4.944,2.319,0.238,0.911,2.255,-8.606,-10.315,8.362,43,2,Avi
0.488,-0.814,2.351,5.859,13.733,0.305,0.272,0.915,2.242,-8.24,-9.399,9.399,43,3,Avi
0.477,-0.795,2.358,1.526,15.076,-0.366,0.275,0.923,2.25,-11.719,-6.958,10.437,43,4,Avi
0.471,-0.79,2.323,-2.563,16.296,-1.77,0.25,0.913,2.214,-17.151,0.854,12.024,43,5,Avi
0.427,-0.788,2.298,-2.747,33.142,-3.784,0.29,0.91,2.258,-22.644,-2.502,13.0,43,6,Avi
0.495,-0.799,2.351,1.343,36.194,-7.141,0.222,0.893,2.328,-25.696,-3.601,14.038,43,7,Avi
0.417,-0.775,2.403,1.526,37.842,-10.62,0.305,0.916,2.273,-23.56,-11.475,11.963,43,8,Avi
0.421,-0.802,2.41,4.456,27.344,-10.925,0.29,0.898,2.269,-21.24,-8.24,11.108,43,9,Avi
0.377,-0.796,2.414,8.606,21.118,-13.0,0.301,0.923,2.284,-16.663,1.282,10.986,43,10,Avi
0.534,-0.767,2.447,13.0,25.94,-16.357,0.307,0.947,2.277,-11.23,0.549,9.644,43,11,Avi
0.411,-0.778,2.525,7.568,22.4,-13.489,0.33,0.967,2.282,-7.08,0.0,7.874,43,12,Avi
0.439,-0.868,2.391,-0.305,2.014,-9.888,0.286,0.985,2.275,-3.235,1.77,8.484,43,13,Avi
0.438,-0.881,2.282,-0.671,-4.822,-6.042,0.298,0.959,2.248,-0.549,8.85,8.24,43,14,Avi
0.533,-0.847,2.284,-1.343,5.005,-5.92,0.312,0.93,2.283,0.488,14.16,9.094,43,15,Avi
0.497,-0.791,2.309,-6.348,21.912,-5.432,0.31,0.923,2.336,1.953,15.503,11.353,43,16,Avi
0.457,-0.8,2.402,-11.841,28.625,-4.395,0.328,0.925,2.334,5.188,11.353,11.963,43,17,Avi
0.441,-0.829,2.404,-15.564,22.827,-5.066,0.335,0.915,2.31,8.301,11.963,11.963,43,18,Avi
0.55,-0.842,2.391,-15.686,22.339,-7.08,0.343,0.908,2.329,10.864,17.395,11.597,43,19,Avi
0.536,-0.832,2.42,-17.517,27.039,-5.188,0.29,0.984,2.358,16.785,6.531,5.005,43,20,Avi
0.312,-0.902,2.458,-24.841,8.301,3.601,0.404,1.023,2.271,21.79,-4.517,-6.531,43,21,Avi
0.309,-0.956,2.313,-26.672,-10.437,18.433,0.321,1.005,2.326,25.269,-5.005,-16.479,43,22,Avi
0.533,-0.868,2.318,-17.7,-14.526,18.25,0.294,0.943,2.315,33.447,-5.005,-25.208,43,23,Avi
0.418,-0.784,2.424,-15.198,-7.813,23.071,0.339,0.878,2.323,36.865,-3.052,-28.015,43,24,Avi
0.377,-0.817,2.347,-20.203,-11.658,26.428,0.211,0.898,2.33,37.231,-7.263,-28.442,43,25,Avi
0.376,-0.882,2.343,-17.212,-19.348,27.344,0.337,0.894,2.228,38.879,-14.099,-27.832,43,26,Avi
0.462,-0.833,2.326,-13.977,-5.676,23.682,0.237,0.819,2.264,32.043,-3.235,-20.142,43,27,Avi
0.428,-0.829,2.355,-12.878,-7.141,18.433,0.321,0.883,2.252,25.024,2.075,-13.672,43,28,Avi
0.378,-0.823,2.31,-14.221,-15.076,18.311,0.292,0.899,2.246,17.09,-1.099,-9.338,43,29,Avi
0.367,-0.841,2.262,-11.23,-22.827,16.785,0.303,0.918,2.207,11.169,-0.427,-5.92,43,30,Avi
0.388,-0.843,2.337,-2.747,-22.888,12.878,0.299,0.91,2.19,6.897,0.549,-4.272,43,31,Avi
0.425,-0.863,2.438,-0.366,-48.096,11.23,0.313,0.907,2.218,2.686,0.244,-3.357,43,32,Avi
0.403,-0.789,2.356,-3.479,-61.707,10.986,0.235,0.911,2.206,2.563,5.066,-2.319,43,33,Avi
0.416,-0.796,2.164,-4.211,-56.641,7.568,0.265,0.929,2.164,3.601,4.15,-2.563,43,34,Avi
0.449,-0.794,2.041,7.263,-18.677,3.174,0.276,0.906,2.166,3.113,6.531,-4.272,43,35,Avi
0.496,-0.83,2.247,12.39,-10.986,-1.648,0.276,0.918,2.178,2.136,7.935,-1.953,43,36,Avi
0.423,-0.843,2.3,-0.854,-17.09,-2.441,0.249,0.949,2.177,0.183,10.681,-0.427,43,37,Avi
0.441,-0.837,2.153,-4.395,-15.747,-2.136,0.271,0.968,2.197,-0.122,5.737,-1.831,43,38,Avi
0.448,-0.859,2.095,0.977,-5.859,-2.014,0.289,0.946,2.202,0.549,5.249,-2.441,43,39,Avi
0.433,-0.844,2.179,5.249,4.395,-5.798,0.292,0.929,2.207,0.854,9.521,-1.587,43,40,Avi
0.339,-0.806,2.35,3.662,-7.263,-5.798,0.309,0.952,2.227,-0.366,6.47,-0.793,43,41,Avi
0.362,-0.799,2.342,2.38,-45.898,-5.737,0.253,0.961,2.23,-2.014,2.075,-1.831,43,42,Avi
0.816,-0.806,2.307,7.996,-95.886,-7.874,0.215,0.958,2.201,-1.221,-10.315,-4.272,43,43,Avi
0.52,-0.782,2.195,1.16,-58.167,-10.315,0.303,0.957,2.166,0.488,-25.574,-4.7,43,44,Avi
0.333,-0.788,2.034,4.761,43.884,-3.723,0.301,0.94,2.224,-1.465,-34.851,-3.784,43,45,Avi
0.486,-0.902,2.149,12.024,13.977,-3.906,0.25,0.954,2.194,0.366,-29.785,-0.488,43,46,Avi
0.487,-0.791,2.263,14.893,17.639,-2.136,0.206,0.911,2.203,1.404,-16.174,1.465,43,47,Avi
0.572,-0.861,2.354,12.512,4.822,-3.967,0.271,0.954,2.21,-0.427,-27.71,3.601,43,48,Avi
0.43,-0.825,2.287,5.371,27.283,-1.16,0.267,0.929,2.197,1.221,-31.311,6.042,43,49,Avi
