ax_left,ay_left,az_left,wx_left,wy_left,wz_left,ax_right,ay_right,az_right,wx_right,wy_right,wz_right,id,time,person
0.571,-0.775,1.747,-8.423,-5.615,-2.869,0.438,0.775,1.516,3.479,2.075,2.197,53,0,Vlad
0.573,-0.783,1.728,-7.935,-5.92,-1.648,0.46,0.769,1.516,2.319,3.784,2.136,53,1,Vlad
0.572,-0.783,1.724,-6.409,-5.859,-2.319,0.445,0.763,1.52,2.441,3.052,1.77,53,2,Vlad
0.563,-0.77,1.72,-4.578,-4.883,-2.502,0.431,0.759,1.529,1.953,1.953,2.563,53,3,Vlad
0.564,-0.763,1.716,-3.174,-3.784,-1.892,0.442,0.766,1.523,1.648,1.221,2.625,53,4,Vlad
0.563,-0.782,1.715,-1.953,-1.099,-1.831,0.449,0.75,1.53,1.587,1.526,2.502,53,5,Vlad
0.562,-0.767,1.715,-0.793,-1.038,-1.404,0.447,0.771,1.521,1.648,0.244,3.113,53,6,Vlad
0.586,-0.771,1.72,0.183,-0.732,-1.038,0.446,0.756,1.53,1.587,-0.366,3.418,53,7,Vlad
0.569,-0.778,1.716,0.244,0.549,-1.16,0.444,0.761,1.527,1.831,0.0,3.235,53,8,Vlad
0.553,-0.767,1.723,-0.427,0.61,-1.038,0.448,0.743,1.521,1.831,-0.122,3.296,53,9,Vlad
0.568,-0.772,1.72,-0.732,0.122,-0.793,0.457,0.764,1.515,2.563,0.366,2.991,53,10,Vlad
0.549,-0.779,1.719,-1.038,2.502,-0.122,0.463,0.756,1.533,2.258,-0.732,2.563,53,11,Vlad
0.567,-0.775,1.723,-0.122,1.709,-0.244,0.462,0.756,1.534,2.38,-1.343,2.319,53,12,Vlad
0.558,-0.772,1.731,1.343,0.61,-1.099,0.448,0.739,1.527,2.747,-2.014,2.319,53,13,Vlad
0.547,-0.765,1.736,0.916,1.465,-2.075,0.441,0.752,1.526,2.991,-1.892,2.258,53,14,Vlad
0.559,-0.759,1.747,0.0,-0.793,-2.563,0.446,0.739,1.53,3.174,-1.343,2.075,53,15,Vlad
0.561,-0.758,1.75,-1.038,-1.709,-2.808,0.466,0.744,1.536,4.761,0.61,2.136,53,16,Vlad
0.555,-0.752,1.752,-2.319,-3.357,-3.662,0.449,0.742,1.536,6.348,1.648,2.38,53,17,Vlad
0.543,-0.752,1.762,-4.15,-5.066,-4.15,0.445,0.732,1.542,7.996,2.38,2.747,53,18,Vlad
0.534,-0.763,1.755,-5.92,-6.165,-5.188,0.465,0.736,1.548,10.315,3.479,2.563,53,19,Vlad
0.563,-0.743,1.757,-7.568,-7.202,-6.104,0.456,0.75,1.549,11.658,3.235,1.831,53,20,Vlad
0.547,-0.743,1.745,-9.644,-7.813,-7.263,0.453,0.739,1.545,13.428,3.845,1.892,53,21,Vlad
0.558,-0.735,1.75,-12.024,-6.775,-8.057,0.462,0.739,1.543,15.137,4.822,2.319,53,22,Vlad
