ax_left,ay_left,az_left,wx_left,wy_left,wz_left,ax_right,ay_right,az_right,wx_right,wy_right,wz_right,id,time,person
0.504,-0.865,1.84,9.888,-4.578,-28.503,0.529,0.883,1.94,-7.202,-15.259,24.719,67,0,Vlad
0.473,-0.941,1.794,8.789,-0.427,-23.682,0.565,0.849,1.923,-5.371,-20.996,21.79,67,1,Vlad
0.373,-0.988,1.802,5.737,-20.752,-17.639,0.513,0.87,1.896,-0.977,-18.921,20.813,67,2,Vlad
0.455,-0.867,1.876,19.043,-35.645,-15.015,0.538,0.882,1.85,-1.16,-24.597,20.63,67,3,Vlad
0.473,-0.896,1.848,14.343,-40.955,-12.512,0.534,0.854,1.835,-0.61,-25.513,17.639,67,4,Vlad
0.425,-0.943,1.822,13.733,-50.476,-4.089,0.555,0.837,1.791,-1.465,-26.123,13.977,67,5,Vlad
0.491,-0.918,1.848,6.775,-49.316,2.258,0.516,0.854,1.788,-0.305,-26.733,11.841,67,6,Vlad
0.532,-0.941,1.784,2.075,-64.392,5.127,0.618,0.702,1.692,16.907,-30.09,8.484,67,7,Vlad
0.428,-0.937,1.746,1.221,-73.792,10.62,0.647,0.832,1.714,10.437,-29.48,10.071,67,8,Vlad
0.451,-0.931,1.737,-1.404,-80.872,11.841,0.589,0.888,1.798,8.667,-33.081,10.986,67,9,Vlad
0.406,-0.885,1.726,-1.892,-86.731,11.353,0.592,0.826,1.797,0.854,-33.203,5.554,67,10,Vlad
0.367,-0.885,1.705,-1.587,-78.552,11.353,0.569,0.813,1.786,-3.052,-26.672,-0.427,67,11,Vlad
0.34,-0.863,1.696,-1.404,-67.688,10.437,0.552,0.861,1.798,-5.92,-23.865,-2.747,67,12,Vlad
0.315,-0.878,1.68,-1.587,-53.101,7.751,0.568,0.837,1.813,-8.545,-18.86,-2.38,67,13,Vlad
0.302,-0.862,1.705,-2.136,-34.058,3.479,0.578,0.835,1.834,-11.963,-12.756,-2.563,67,14,Vlad
0.366,-0.879,1.711,-6.226,-20.386,-1.221,0.559,0.821,1.84,-13.489,-4.761,-2.686,67,15,Vlad
0.353,-0.88,1.693,-6.042,-11.23,-2.319,0.533,0.8,1.853,-13.306,-3.357,-2.38,67,16,Vlad
0.4,-0.871,1.734,-8.728,-4.089,-4.15,0.518,0.785,1.853,-12.878,-4.395,-1.526,67,17,Vlad
0.395,-0.837,1.753,-10.315,-4.211,-5.432,0.52,0.806,1.855,-11.292,-4.639,-2.014,67,18,Vlad
0.395,-0.841,1.769,-13.428,1.343,-4.822,0.545,0.785,1.853,-9.399,-1.343,-1.343,67,19,Vlad
0.387,-0.855,1.757,-14.526,-2.441,-3.723,0.538,0.791,1.859,-3.662,-2.014,1.343,67,20,Vlad
0.37,-0.839,1.752,-14.16,-3.967,-4.7,0.552,0.8,1.859,-2.136,-5.737,2.686,67,21,Vlad
0.387,-0.882,1.733,-12.329,-2.075,-5.554,0.579,0.811,1.875,-2.991,-9.644,2.686,67,22,Vlad
0.374,-0.862,1.713,-8.057,-3.967,-8.606,0.516,0.829,1.882,-4.761,-10.315,2.258,67,23,Vlad
0.348,-0.858,1.701,-3.662,-3.296,-11.719,0.524,0.819,1.869,-5.981,-15.259,2.747,67,24,Vlad
0.437,-0.827,1.691,2.258,-8.423,-17.761,0.513,0.797,1.883,-9.521,-20.264,4.211,67,25,Vlad
0.492,-0.792,1.663,13.123,-14.16,-26.123,0.639,0.755,1.848,-12.878,-25.452,8.972,67,26,Vlad
0.548,-0.845,1.68,20.081,-42.236,-28.809,0.525,0.802,1.795,-17.578,-23.499,14.526,67,27,Vlad
0.515,-0.744,1.725,24.658,-71.899,-26.733,0.491,0.779,1.806,-22.522,-28.87,18.738,67,28,Vlad
0.462,-0.745,1.723,25.635,-70.374,-23.682,0.625,0.747,1.804,-27.283,-33.875,21.423,67,29,Vlad
0.399,-0.786,1.697,24.475,-60.669,-22.034,0.516,0.828,1.833,-31.433,-31.677,21.79,67,30,Vlad
